start	end	text
734880	742960	Tom, what about Ukraine? Can Ukraine, for example, use our favorite F-16s to apply such stuff?
743840	747760	Yes, of course. You could put two 1000 kilogram bombs on F-16.
750320	756400	What do you think? Is Ukrainian command going to use it?
757760	763600	Yes, you have already underdeveloped such a weapon. I'm just not sure if it is caliber 1000 kilogram,
763600	767440	but you certainly have such underdevelopment, a weapon of 500 kilogram.
768640	774400	That's very interesting. So let's stay on our favorite topic. Tom, how could you,
775920	777680	what's your opinion of the
781920	784960	using of western aircraft in Ukraine?
786640	792880	Look, in order to use western aircraft in Ukraine, you have to change the entire system,
792960	797600	how aviation is operating in Ukraine, and this is happening very, very slowly.
798240	807280	It took the delivery of F-16s to Ukraine for the top civilian authority in Ukraine,
807280	815760	I forgot the name, sorry now, to write a new set of regulations for pilots, for ground personnel,
815760	822240	for ground control and so on, and for radar systems and so on. So before that, you still had
822240	830080	the same system like in the Soviet Union. So now you have to, in order to use, the next step in
830080	837600	using western aircraft is to teach your people, your troops, your ground crews and your pilots to
837600	845200	speak English, which is the next hurdle because despite all the talk about we are going to buy
845200	851040	western aircraft, whether a sub-grip pen or F-16s or whatever else, of the last let's say 10 years
851040	857920	or something like that, nobody in the Air Force took here to organize English language courses
858560	865200	for pilots and for ground personnel, which means that every time Ukraine sends pilots and ground
865200	872720	personnel for training in the West, they first have to spend six months at least learning English.
873360	880320	So now once they learn English, only then can they start training actual flying training or aircraft.
880320	886800	Before they start this actual training, flight training on aircraft, they have to learn the
886800	894160	basic principles, procedures of flying in the West, which are fundamentally different than those in
894160	901120	the former Soviet Union. So even then, actually, they still do not instantly start training in
901840	909760	aircraft, but they first learn the procedures and terminology in order to start learning flying
909760	914960	aircraft or maintaining aircraft or arming them, refueling them and so on and so on. So you have
916240	923520	every time a new group of Ukrainians is sent to West to learn flying F-16s or whatever else,
923520	928720	it takes at least a year to get them so far that they start actually learning to fly the aircraft.
932000	938080	Correspondingly, from this point of view, you can instantly calculate how long is it going to take
938080	945920	for an entire Ukrainian Air Force to convert to, let's say, F-16s. This is just F-16s.
947040	951680	Another part is going to convert to Gripens. At least a unit is going to fly
952640	955920	this Sub-Evox aircraft and similar stuff.
956320	961680	So this is a process that is going to take years.
966160	975840	Can we say that today is too early to make conclusions about applying F-16s and other
975840	980720	aircraft in Ukraine? It's not too early. It's not too early. Don't worry. Let's say,
980720	987280	even if the Dutch would junk all of their 40 or whatever F-16s that are still around
987280	992160	up on Ukraine tomorrow in the morning, it will still take you one to two years to train enough
992160	998640	personnel to fly all of them. You do not have people enough people. Someone is already flying.
999760	1005040	Just flying over Ukraine. You don't have enough pilots. You don't have enough ground personnel.
1005040	1009840	You don't have the support infrastructure. You don't have the spares. You don't have
1010720	1014560	maintenance facilities in Ukraine. You don't have it. It's simply not there.
1015120	1025840	You mean that those aircraft which already fly above Ukraine, they do not conduct any military
1025840	1033440	mission? Oh, no. I do not say that. What do they do? There are five F-16s in Ukraine. This is the
1033440	1040080	group that was delivered two months ago, and they are flying air combat sorties, air defense sorties.
1040880	1049280	I'm not dispute about this. But increasing this number to, let's say, 30 or something meaningful
1050640	1055840	to a number that is making sense or having its effect upon developments on the battlefield,
1056240	1071040	it's going to take its time. Okay, that's clear. We also had a question that is being asked throughout
1071040	1082960	Ukraine for about three years. Why don't we still have our own iron dome above Ukraine?
1083440	1095440	What's about Ukrainian air defense? Where should I start? Well, I mean, you are Ukrainian. You
1095440	1099440	know it better than me. You grew up in Ukraine, if nothing else. I've never been to Ukraine.
1100000	1109200	The first problem is that from the independence in 1991, 1992, until 2014, nobody cared about
1109280	1113920	Ukrainian armed forces. So they were constantly decreased, decreased, decreased, decreased,
1113920	1122000	downsized, downsized. Units were constantly disbanded. Air bases were closed. Nobody needed
1122000	1130880	armed forces. There was peace everywhere. Everything was so beautiful. And well, it's a matter of
1130880	1136880	fact that Ukrainian economy wasn't particularly good. So you had a situation where there was no money
1137360	1142480	for the city. And therefore, although you had excellent companies which could
1143200	1150080	design a manufacturing weaponry, nobody was buying this weaponry. And so these companies,
1150080	1156400	in some cases, ended working for the Russians and not only a few of them. So when the Russians needed
1156400	1163200	some kind of guided, tactical guided weapons, air-to-air missiles and so on, these were made,
1163520	1167840	at least major parts of them, major assemblies of them were made in Ukraine.
1169280	1173520	And then the Russians would either use these at home or sell them abroad, export them
1174400	1180800	to whatever customers. So now the 2014 came and there are lots of announcements and blah, blah,
1180800	1190240	blah, blah. And nothing happened. Or the most that has happened was to overhaul MiG-29s and S-25s
1191200	1199440	very few, F-22s, S-27s. So they were overhauled. That means that they were taken apart,
1200000	1205360	cleaned, refurbished, most important pieces were replaced. And then everything was assembled,
1205360	1211200	painted anew. And they received a new radio, they received new weapons management systems.
1212000	1217200	MiG-29s have even received this new computer, which is improving the performance of their radar.
1217200	1224640	Beautiful. Yeah. And that's it. Nobody came to the idea, obviously, to finance the installation of
1224640	1229600	or development research and installation of actually serious production and installation
1229600	1237600	of new air-to-air missiles on MiG-29s or S-27s. So this is the first point. The second point is
1238800	1245920	in order to have such weaponry, whether air-to-air missiles or surface-to-air missiles,
1245920	1254800	you should have had somebody who would manufacture them. Basically, you had several design bureaus
1254800	1266000	like Luch, for example, who have designs of new air-to-air missile and its surface launched version
1267440	1273760	with a range of something like 100 kilometers, which is something which your armed forces
1273760	1281360	would need urgently right now, and then not in a few examples, but in thousands. But it's not there.
1281360	1288480	Why? Well, because obviously, somebody there is convinced that these are old companies,
1288480	1292800	that they are too complex and they're wasting too much money and doing nothing and they're
1292800	1300880	useful and to whatever else. Therefore, nothing is done. And now, even if Luch would start,
1300880	1306800	actually give Artyom the production to launch this production, the serious production of this
1306800	1312240	new weaponry, it would take at least a year to introduce it to service. On the other side,
1312240	1318400	meanwhile, Artyom was heavily hit several times by the Russians this summer, so I don't even know
1318400	1323840	how much of its underground facilities are still actually operational. So why didn't this happen?
1323840	1332080	Because nobody in Kiev had the far side enough to say, okay, guys, we have to build up,
1332080	1337680	we have to invest into our defense sector, we have to reform it on time and then let it
1338560	1344240	start manufacturing new weaponry on time. Nothing happened in these regards, actually, even as of,
1345200	1353760	was it Autumn 2022, perhaps in Autumn the last year. And therefore, you do not have
1354800	1359600	in serious production, you do not have new ballistic missiles, you do not have air-to-air
1359600	1366880	missiles, you do not have surface-to-air missiles, although your companies have ready to use designs
1366880	1372960	for them and they could put them into production. The next point is also that there is always this
1373040	1379840	petty bickering about who is going to get the money for this. You have advisors to the
1379840	1386160	government who are complaining that Artyom and Luch, they are old and this is too complex,
1386160	1391680	and let's not give them money. Let's get this stuff from the West, which is nonsensical.
1392320	1398960	It would have been better to pay Artyom already back in 2022 to start manufacturing this new
1398960	1404000	air-to-air missiles and surface-to-air missiles. However, the government back then was convinced
1404000	1408000	now this war is going to end, whatever, in the six months, 12 months or something.
1409600	1416320	Therefore, you didn't launch production on time. Even the Neptune anti-ship missile,
1416320	1421920	which is meanwhile also developed as a cruise missile, was available on in prototype form,
1421920	1430160	some 12 or 15 examples around in February 2022. This first successful deployment against
1430800	1437280	Russian guided missile cruiser Moskva was actually something like an ultimate test of the weapon.
1437920	1444000	Before that, there was no operational unit in the Ukrainian Armed Forces operating
1444960	1453840	Neptune's. And ever since, how many are manufactured? 15 perhaps a year. 15 a year,
1453840	1460480	where you could need actually, let's say at least 500 of them, and probably then develop them
1461840	1467280	into land attack versions, which could be launched from Asia 24, so you don't need to beg
1467680	1474400	Germans, British, French and the Americans for more storm shadows and similar stuff.
1475360	1480480	You could have had all of this already years ago. Your government just failed to reorganize the
1480480	1487360	defense sector, to finance it properly, to launch the production. Right now, your defense sector is
1487360	1496320	working with 40 to 60 percent of its capacity, which means actually that people are sitting there
1496400	1501600	and working something like let's say four to five hours a day instead of eight hours a day in three
1501600	1509360	shifts. This is insane. You're facing a war of extermination and your defense sector is sitting
1509360	1516080	there and waiting for better times. Because there's nobody in Kiev capable of reorganizing
1516720	1523200	the financing of the sector and then the management of the sector itself. Nothing is happening.
1523920	1527680	There are always big announcements, but until somebody from the West comes in,
1528320	1533040	pays a lot of money probably somewhere, and then invests a lot of money into one or the other
1533040	1539280	factory, nothing happens. And that is why you don't have modern air-to-air missiles for your
1539280	1544640	suhuis and for your mix, and why you don't have enough surface-to-air missiles, and why
1545600	1552800	therefore the entire production and the entire defense sector's future functionality
1553680	1556080	is under a big question mark.
