start	end	text
781000	795000	And even more important, you would have such missiles like FAT, or rockets, actually, sorry, artillery rockets like FAT, which means you can deliver a warhead of 100, 200, 300 kilogram over range of 100 kilometers.
795000	807000	Ideally, you would need something like 20, at least 20 Patriot Sam batteries, plus a similar number of IST and SamT. You don't have anything of this.
807000	813000	And I don't see you getting anything of this, but even enough to patch up your air defenses and so on and so on.
813000	828000	So I have no solution right now. What you need is plenty of firepower. And I mean really firepower in terms of 100, 200, 300 kilogram warheads been delivered and obliterating entire Russian units.
828000	834000	This is happening perhaps once a month, but this is too little. You would need this happening every single day.
834000	846000	I also do not understand, I mean, how long is it now that you have got the first high mass that was in summer 2022? So two years. And you're still not manufacturing high mass at home?
846000	855000	I cannot understand this. Why not? You're all the time waiting for Americans to have mercy and send you another 30 rockets.
855000	875000	Why is nobody manufacturing ATACOMS in Ukraine? Out of mind of what? Instead, the government has been, as far as I have heard, is letting the Americans buy agricultural surfaces, real estate.
875000	884000	I mean, it's not letting them buy directly, but it says, okay, if some foreigner wants to buy it, please, let's do it. And Ukrainians don't have the money to do so, so foreigners are buying it.
884000	893000	And the first foreigners who are doing it in the soil are the Americans. So you're going to end as what?
893000	908000	Heavy indebted, lucky home territory. I don't know where this heading. I have no solution for this problem, excuse me. I mean, Middle East is perfect in comparison.
908000	932000	Thank you, Tom. I hope our audience will make appropriate conclusions from your words. And at the end, I would just mention that we're not publishing all of Tom's texts. That's, I'm talking to our audience, all of Tom's texts for different reasons.
932000	961000	But if you are looking for an interesting, competent overview of the events in the Middle East, I would probably suggest you to take a look at Tom's blog, because I believe that a person who spent almost 40 years studying this region
961000	985000	probably knows a bit more comparing to those experts you are watching on our TV. So thank you so much, Tom. It was a big pleasure to talk to you. And they hope we will have another interview a bit later.
985000	996000	Thank you very much for inviting me as well. And please keep yourself safe and do the best for your country and for all of you.
996000	1000000	Thank you, Tom. Goodbye, everyone. Stay safe.
